date,amount,merchant
2025-06-26,-18970.78,Insurance
2025-06-26,-18129.29,Utilities
2025-06-27,-4346.51,Fixed Deposit
2025-06-27,-2665.9,Fixed Deposit
2025-06-28,-5149.08,Rent
2025-06-29,-17618.75,Rent
2025-06-30,-15727.97,Medical
2025-07-01,-7790.73,Groceries
2025-07-02,-11184.7,Medical
2025-07-02,-8742.11,Medical
2025-07-03,-6683.39,Groceries
2025-07-04,-7808.19,Rent
2025-07-05,-952.48,Fixed Deposit
2025-07-06,-4864.1,Fixed Deposit
2025-07-06,-5826.87,Medical
2025-07-07,-11717.29,Insurance
2025-07-07,-5086.86,Fixed Deposit
2025-07-08,-18753.67,Rent
2025-07-09,-2559.36,Fixed Deposit
2025-07-10,-17991.82,Rent
2025-07-10,-4490.3,Insurance
2025-07-11,-349.97,Rent
2025-07-12,-3953.9,Insurance
2025-07-13,-9514.74,Medical
2025-07-13,-16954.25,Insurance
2025-07-14,-16753.09,Medical
2025-07-15,-11665.4,Utilities
2025-07-16,-13065.28,Fixed Deposit
2025-07-17,-13481.49,Fixed Deposit
2025-07-18,-5560.07,Groceries
2025-07-19,-19376.19,Utilities
2025-07-19,-1378.95,Medical
2025-07-20,-13675.04,Medical
2025-07-20,-17498.96,Rent
2025-07-21,-12756.27,Groceries
2025-07-21,-7119.12,Insurance
2025-07-22,-15477.37,Insurance
2025-07-23,-2759.13,Groceries
2025-07-24,-17612.46,Utilities
2025-07-24,-12028.97,Groceries
2025-07-25,-7381.76,Utilities
2025-07-25,-19582.83,Medical
2025-07-26,-926.5,Utilities
2025-07-26,-820.05,Insurance
2025-07-27,-3590.34,Medical
2025-07-27,-19066.42,Utilities
2025-07-28,-7644.07,Rent
2025-07-29,-13451.43,Utilities
2025-07-29,-14940.15,Utilities
2025-07-30,-16830.57,Medical
2025-07-31,-5442.56,Groceries
2025-08-01,-6339.05,Utilities
2025-08-01,-17288.5,Fixed Deposit
2025-08-02,-18157.01,Insurance
2025-08-02,-3531.42,Utilities
2025-08-03,-9303.69,Utilities
2025-08-04,-19765.37,Rent
2025-08-05,-18751.54,Groceries
2025-08-06,-14640.94,Medical
2025-08-07,-10836.37,Rent
2025-08-07,-2634.0,Utilities
2025-08-08,-9954.47,Utilities
2025-08-09,-12017.96,Groceries
2025-08-09,-6697.14,Groceries
2025-08-10,-17585.97,Utilities
2025-08-10,-9140.39,Medical
2025-08-11,-19478.2,Rent
2025-08-11,-9002.19,Utilities
2025-08-12,-5937.42,Utilities
2025-08-12,-18322.91,Utilities
2025-08-13,-788.35,Rent
2025-08-14,-8004.12,Fixed Deposit
2025-08-15,-4532.06,Groceries
2025-08-16,-18913.17,Rent
2025-08-16,-15739.39,Groceries
2025-08-17,-13804.47,Rent
2025-08-17,-3299.71,Fixed Deposit
2025-08-18,-11856.04,Medical
2025-08-18,-1527.79,Groceries
2025-08-19,-16792.0,Utilities
2025-08-19,-11718.35,Groceries
2025-08-20,-3865.14,Utilities
2025-08-21,-4230.12,Rent
2025-08-21,-2723.55,Rent
2025-08-22,-1783.62,Insurance
2025-08-23,-10420.1,Medical
2025-08-24,-13331.42,Insurance
2025-08-24,-4254.42,Insurance
2025-08-25,-17128.79,Fixed Deposit
2025-08-25,-5191.13,Fixed Deposit
2025-08-26,-7257.71,Groceries
2025-08-27,-18187.15,Insurance
2025-08-27,-10472.16,Groceries
2025-08-28,-14896.12,Rent
2025-08-29,-7778.34,Rent
2025-08-30,-7093.68,Groceries
2025-08-30,-1445.75,Medical
2025-08-31,-15107.87,Insurance
2025-09-01,-7229.21,Rent
2025-09-01,-8961.79,Utilities
2025-09-02,-10134.13,Rent
2025-09-03,-11177.19,Utilities
2025-09-03,-13530.17,Insurance
2025-09-04,-9861.22,Groceries
2025-09-05,-142.52,Insurance
2025-09-05,-8509.51,Utilities
2025-09-06,-19719.13,Fixed Deposit
2025-09-06,-268.94,Rent
2025-09-07,-3900.25,Medical
2025-09-07,-3876.45,Insurance
2025-09-08,-9553.35,Rent
2025-09-08,-11889.82,Medical
2025-09-09,-17412.5,Utilities
2025-09-10,-18874.68,Medical
2025-09-10,-16304.92,Rent
2025-09-11,-16538.82,Groceries
2025-09-11,-664.69,Insurance
2025-09-12,-13618.01,Fixed Deposit
2025-09-13,-16658.87,Medical
2025-09-13,-19427.4,Utilities
2025-09-14,-6956.53,Insurance
2025-09-15,-15441.77,Insurance
2025-09-16,-5870.99,Rent
2025-09-17,-16060.56,Utilities
2025-09-18,-8304.35,Medical
2025-09-18,-13375.43,Rent
2025-09-19,-5211.39,Fixed Deposit
2025-09-19,-12270.57,Fixed Deposit
2025-09-20,-17985.07,Rent
2025-09-21,-11309.11,Insurance
2025-09-22,-7046.46,Fixed Deposit
2025-09-23,-17831.09,Medical
2025-09-24,-17664.05,Utilities
2025-09-25,-6959.5,Insurance
2025-09-26,-16785.41,Insurance
2025-09-27,-11615.9,Rent
2025-09-27,-6972.94,Insurance
2025-09-28,-4756.73,Rent
2025-09-29,-16984.03,Groceries
2025-09-30,-13889.3,Fixed Deposit
