date,amount,merchant
2025-09-11,-36479.64,Amazon
2025-09-12,-35292.35,Groceries
2025-09-13,-38564.6,EMI
2025-09-14,-2115.44,Groceries
2025-09-14,-20371.5,Amazon
2025-09-15,-37540.54,EMI
2025-09-16,-25301.24,Shopping
2025-09-16,-33319.71,Rent
2025-09-17,-36083.01,Amazon
2025-09-18,-16664.53,Groceries
2025-09-18,-29813.83,Utilities
2025-09-19,-25325.81,Groceries
2025-09-19,-39460.54,Uber
2025-09-20,-39058.3,Rent
2025-09-21,-24763.19,EMI
2025-09-21,-25668.17,Groceries
2025-09-22,-16266.21,Utilities
2025-09-23,-38133.2,Groceries
2025-09-24,-29478.65,Utilities
2025-09-24,-39989.36,Amazon
2025-09-25,-7069.16,EMI
2025-09-26,-2645.23,Amazon
2025-09-26,-38235.75,Uber
2025-09-27,-2124.86,Uber
2025-09-28,-10966.18,Amazon
2025-09-28,-13776.12,EMI
2025-09-29,-6037.29,Shopping
2025-09-30,-18777.86,Shopping
2025-09-30,-28001.68,Utilities
